date,inst,vlmbase,varbase,volume,variance
7/7/2015,HG,41311.00669,6208.182325,43451.59262,6368.99284
7/7/2015,HO,43816.28897,108354.3436,43816.28897,108354.3436
7/7/2015,KE,14690.84003,2002.306555,14864.77704,2008.686001
7/7/2015,LE,28328.42719,2147.259555,28997.12195,2179.071189
7/7/2015,NG,113491.9687,5778.350034,113491.9687,5778.350034
7/7/2015,NQ,194470.751,28897.5494,210122.3959,31088.90208
7/7/2015,PA,3317.997285,37553.81379,3796.243646,39727.73307
7/7/2015,PL,9320.047276,13708.39208,10856.98105,14712.99873
7/7/2015,RB,41457.14208,117154.7646,41457.14208,117154.7646
7/7/2015,SI,33290.18579,4135.020867,38605.52453,4710.806349
7/7/2015,UB,72164.4768,4326.139134,79230.65819,4667.93357
7/7/2015,YM,127009.149,22682.03765,137609.8526,24385.29542
7/7/2015,ZB,210858.0279,3264.527225,239830.024,3473.08767
7/7/2015,ZC,197775.1943,967.0857282,202139.3539,967.7464379
7/7/2015,ZF,514209.288,2363.611599,591569.5713,2581.674284
7/7/2015,ZL,60440.50958,2633.958125,62315.65137,2679.08633
7/7/2015,ZM,54808.71072,3052.678373,57570.46828,3060.734511
7/7/2015,ZN,1008121.742,1909.232371,1212011.708,2076.377468
7/7/2015,ZS,131359.732,3134.63404,137006.5838,3146.219236
7/7/2015,ZT,213308.0692,144.9441959,251826.465,153.0096433
7/7/2015,ZW,77863.30963,2684.484483,78376.37216,2693.299522
7/8/2015,6A,74394.99007,7683.719756,89586.62705,9592.149615
7/8/2015,6B,79749.04079,11838.02803,99479.52826,14931.66078
7/8/2015,6C,54822.7876,4590.66679,64883.14563,5824.232686
7/8/2015,6E,222365.609,15646.32296,276067.7777,20405.23046
7/8/2015,6J,108121.6926,5246.770052,134725.6606,6447.339182
7/8/2015,6M,29200.75813,2557.158502,38245.56498,3383.686642
7/8/2015,6N,16035.22994,4568.562716,19814.97541,5702.840707
7/8/2015,6S,18151.27378,9356.117574,21626.33192,11251.68316
7/8/2015,CL,293443.8463,22932.43686,346866.954,26868.92361
7/8/2015,EMD,14902.20328,11709.85607,15926.33732,12779.69279
7/8/2015,ES,1268907.819,7914.574463,1362608.707,8739.705802
7/8/2015,GC,101978.0614,12372.57246,120747.675,15384.39663
7/8/2015,GE,986633.1198,259.4944594,1327252.981,355.8736066
7/8/2015,GF,5946.513107,5288.118259,6092.058725,5288.118259
7/8/2015,HE,21022.019,1759.169418,21836.25752,1760.100485
7/8/2015,HG,42113.44557,6392.144773,43082.60599,6671.451127
7/8/2015,HO,44230.20254,108584.9644,49984.63723,121721.2421
7/8/2015,KE,14690.84003,2002.306555,15577.23782,2092.030518
7/8/2015,LE,28121.14183,2122.560525,28389.11762,2141.323348
7/8/2015,NG,112915.264,5730.501541,114235.8124,5773.749151
7/8/2015,NQ,196273.9269,29288.86265,220201.3468,32591.04595
7/8/2015,PA,3323.245898,38507.98113,3459.893881,38686.48174
7/8/2015,PL,9430.983164,13775.96316,10019.08939,15706.82875
7/8/2015,RB,41953.39435,118557.5744,49800.59991,136333.9179
7/8/2015,SI,33193.9933,4122.037103,37829.70718,5072.960926
7/8/2015,UB,72383.64229,4353.582237,85505.23854,5592.627239
7/8/2015,YM,128162.6035,23060.2156,142995.0771,25703.29537
7/8/2015,ZB,211757.0136,3309.40865,254819.6056,4205.849527
7/8/2015,ZC,197775.1943,967.0857282,204022.0154,973.6953063
7/8/2015,ZF,514448.9738,2408.292264,638003.6237,3576.824326
7/8/2015,ZL,60440.50958,2633.958125,61533.30263,2693.521104
7/8/2015,ZM,54808.71072,3052.678373,56297.58559,3059.447053
7/8/2015,ZN,1009376.473,1944.125683,1240833.823,2656.996494
7/8/2015,ZS,131359.732,3134.63404,133598.7035,3216.012309
7/8/2015,ZT,212737.8256,147.6037874,272665.3095,258.1916544
7/8/2015,ZW,77863.30963,2684.484483,79998.13502,2767.222344
7/9/2015,6A,74983.28288,7705.896443,75823.32053,7790.156957
7/9/2015,6B,80385.38672,11880.64061,83434.76216,12249.12872
7/9/2015,6C,55171.01667,4600.418299,56439.30791,4747.746819
7/9/2015,6E,223228.1208,15707.5196,230230.2313,15879.46918
7/9/2015,6J,108115.2827,5382.852464,111360.9694,5719.181062
7/9/2015,6M,29448.39511,2571.671273,32177.42466,2623.070211
7/9/2015,6N,16170.54533,4569.367781,16713.57636,4613.95148
7/9/2015,6S,18104.97017,9285.390078,18569.4258,9382.17161
7/9/2015,CL,299774.0291,23313.15048,302745.2149,23377.73785
7/9/2015,EMD,15042.18552,11870.48055,15051.50951,11934.34523
7/9/2015,ES,1286925.578,8078.671082,1294221.782,8146.843644
7/9/2015,GC,102313.6383,12422.53393,105629.9809,12756.65492
7/9/2015,GE,995793.8344,260.3748422,1101328.268,296.8846411
